#         SmartNIC(TLS12)   SmartNIC(TLS13)   Server      
"1KB"     4.07              3.17              1.57
"10KB"    4.28              3.47              1.64
"100KB"   6.71              5.70              7.15
"1MB"     20.38             20.74             326.28
"10MB"    163.42            176.28            203.31
