#                SmartNIC                  Server              
# type           min     avg     max       min     avg     max 
"Baseline"       44.744084028568    3880    44.744084028568      105.80893550799  1970    105.80893550799
"AES-256-CBC"    3.0018494299348    611     3.0018494299348       3.7836927142086  966     3.7836927142086
"AES-256-GCM"    4.5243707358654    739     4.5243707358654       5.0414944874181  1300    5.0414944874181
